id,numTrees,currentLeaf,currDepth,Val_score,Train_score
304.0,21.0,82.0,31.0,0.99,0.998
305.0,21.0,82.0,41.0,0.99,0.998
306.0,21.0,82.0,51.0,0.99,0.998
307.0,21.0,82.0,61.0,0.99,0.998
308.0,21.0,82.0,71.0,0.99,0.998
309.0,21.0,82.0,81.0,0.99,0.998
310.0,21.0,82.0,91.0,0.99,0.998
311.0,21.0,92.0,1.0,0.895,0.877
312.0,21.0,92.0,11.0,0.99,0.998
313.0,21.0,92.0,21.0,0.99,0.998
314.0,21.0,92.0,31.0,0.99,0.998
315.0,21.0,92.0,41.0,0.99,0.998
316.0,21.0,92.0,51.0,0.99,0.998
317.0,21.0,92.0,61.0,0.99,0.998
318.0,21.0,92.0,71.0,0.99,0.998
319.0,21.0,92.0,81.0,0.99,0.998
320.0,21.0,92.0,91.0,0.99,0.998
321.0,21.0,102.0,1.0,0.895,0.877
322.0,21.0,102.0,11.0,0.99,0.998
323.0,21.0,102.0,21.0,0.99,0.998
324.0,21.0,102.0,31.0,0.99,0.998
325.0,21.0,102.0,41.0,0.99,0.998
326.0,21.0,102.0,51.0,0.99,0.998
327.0,21.0,102.0,61.0,0.99,0.998
328.0,21.0,102.0,71.0,0.99,0.998
329.0,21.0,102.0,81.0,0.99,0.998
330.0,21.0,102.0,91.0,0.99,0.998
331.0,31.0,2.0,1.0,0.93,0.91
332.0,31.0,2.0,11.0,0.93,0.91
333.0,31.0,2.0,21.0,0.93,0.91
334.0,31.0,2.0,31.0,0.93,0.91
335.0,31.0,2.0,41.0,0.93,0.91
336.0,31.0,2.0,51.0,0.93,0.91
337.0,31.0,2.0,61.0,0.93,0.91
338.0,31.0,2.0,71.0,0.93,0.91
339.0,31.0,2.0,81.0,0.93,0.91
340.0,31.0,2.0,91.0,0.93,0.91
341.0,31.0,12.0,1.0,0.93,0.91
342.0,31.0,12.0,11.0,0.985,0.985
343.0,31.0,12.0,21.0,0.985,0.985
344.0,31.0,12.0,31.0,0.985,0.985
345.0,31.0,12.0,41.0,0.985,0.985
346.0,31.0,12.0,51.0,0.985,0.985
347.0,31.0,12.0,61.0,0.985,0.985
348.0,31.0,12.0,71.0,0.985,0.985
349.0,31.0,12.0,81.0,0.985,0.985
350.0,31.0,12.0,91.0,0.985,0.985
351.0,31.0,22.0,1.0,0.93,0.91
352.0,31.0,22.0,11.0,0.988,0.989
353.0,31.0,22.0,21.0,0.988,0.989
354.0,31.0,22.0,31.0,0.988,0.989
355.0,31.0,22.0,41.0,0.988,0.989
356.0,31.0,22.0,51.0,0.988,0.989
357.0,31.0,22.0,61.0,0.988,0.989
358.0,31.0,22.0,71.0,0.988,0.989
359.0,31.0,22.0,81.0,0.988,0.989
360.0,31.0,22.0,91.0,0.988,0.989
361.0,31.0,32.0,1.0,0.93,0.91
362.0,31.0,32.0,11.0,0.987,0.993
363.0,31.0,32.0,21.0,0.987,0.993
364.0,31.0,32.0,31.0,0.987,0.993
365.0,31.0,32.0,41.0,0.987,0.993
366.0,31.0,32.0,51.0,0.987,0.993
367.0,31.0,32.0,61.0,0.987,0.993
368.0,31.0,32.0,71.0,0.987,0.993
369.0,31.0,32.0,81.0,0.987,0.993
370.0,31.0,32.0,91.0,0.987,0.993
371.0,31.0,42.0,1.0,0.93,0.91
372.0,31.0,42.0,11.0,0.989,0.998
373.0,31.0,42.0,21.0,0.989,0.998
374.0,31.0,42.0,31.0,0.989,0.998
375.0,31.0,42.0,41.0,0.989,0.998
376.0,31.0,42.0,51.0,0.989,0.998
377.0,31.0,42.0,61.0,0.989,0.998
378.0,31.0,42.0,71.0,0.989,0.998
379.0,31.0,42.0,81.0,0.989,0.998
380.0,31.0,42.0,91.0,0.989,0.998
381.0,31.0,52.0,1.0,0.93,0.91
382.0,31.0,52.0,11.0,0.991,0.999
383.0,31.0,52.0,21.0,0.991,0.999
384.0,31.0,52.0,31.0,0.991,0.999
385.0,31.0,52.0,41.0,0.991,0.999
386.0,31.0,52.0,51.0,0.991,0.999
387.0,31.0,52.0,61.0,0.991,0.999
388.0,31.0,52.0,71.0,0.991,0.999
389.0,31.0,52.0,81.0,0.991,0.999
390.0,31.0,52.0,91.0,0.991,0.999
391.0,31.0,62.0,1.0,0.93,0.91
392.0,31.0,62.0,11.0,0.991,0.999
393.0,31.0,62.0,21.0,0.991,0.999
394.0,31.0,62.0,31.0,0.991,0.999
395.0,31.0,62.0,41.0,0.991,0.999
396.0,31.0,62.0,51.0,0.991,0.999
397.0,31.0,62.0,61.0,0.991,0.999
398.0,31.0,62.0,71.0,0.991,0.999
399.0,31.0,62.0,81.0,0.991,0.999
400.0,31.0,62.0,91.0,0.991,0.999
401.0,31.0,72.0,1.0,0.93,0.91
402.0,31.0,72.0,11.0,0.991,0.999
403.0,31.0,72.0,21.0,0.991,0.999
404.0,31.0,72.0,31.0,0.991,0.999
405.0,31.0,72.0,41.0,0.991,0.999
406.0,31.0,72.0,51.0,0.991,0.999
407.0,31.0,72.0,61.0,0.991,0.999
408.0,31.0,72.0,71.0,0.991,0.999
409.0,31.0,72.0,81.0,0.991,0.999
410.0,31.0,72.0,91.0,0.991,0.999
411.0,31.0,82.0,1.0,0.93,0.91
