id,numTrees,currenmaxtLeaf,currDepth,Val_score,Train_score,minLeaf,maxFea,minSplit,min_impurity_decrease,warm_start
229,1,2,11,0.644,0.662,1,10,22,0,False
230,1,2,11,0.644,0.662,1,10,22,0,True
231,1,2,11,0.5,0.5,1,10,22,10,False
232,1,2,11,0.5,0.5,1,10,22,10,True
233,1,2,11,0.5,0.5,1,10,22,20,False
234,1,2,11,0.5,0.5,1,10,22,20,True
235,1,2,11,0.644,0.662,1,10,32,0,False
236,1,2,11,0.644,0.662,1,10,32,0,True
237,1,2,11,0.5,0.5,1,10,32,10,False
238,1,2,11,0.5,0.5,1,10,32,10,True
239,1,2,11,0.5,0.5,1,10,32,20,False
240,1,2,11,0.5,0.5,1,10,32,20,True
241,1,2,11,0.791,0.778,1,10,2,0,False
242,1,2,11,0.791,0.778,1,10,2,0,True
243,1,2,11,0.5,0.5,1,10,2,10,False
244,1,2,11,0.5,0.5,1,10,2,10,True
245,1,2,11,0.5,0.5,1,10,2,20,False
246,1,2,11,0.5,0.5,1,10,2,20,True
247,1,2,11,0.791,0.778,1,10,12,0,False
248,1,2,11,0.791,0.778,1,10,12,0,True
249,1,2,11,0.5,0.5,1,10,12,10,False
250,1,2,11,0.5,0.5,1,10,12,10,True
251,1,2,11,0.5,0.5,1,10,12,20,False
252,1,2,11,0.5,0.5,1,10,12,20,True
253,1,2,11,0.791,0.778,1,10,22,0,False
254,1,2,11,0.791,0.778,1,10,22,0,True
255,1,2,11,0.5,0.5,1,10,22,10,False
256,1,2,11,0.5,0.5,1,10,22,10,True
257,1,2,11,0.5,0.5,1,10,22,20,False
258,1,2,11,0.5,0.5,1,10,22,20,True
259,1,2,11,0.791,0.778,1,10,32,0,False
260,1,2,11,0.791,0.778,1,10,32,0,True
261,1,2,11,0.5,0.5,1,10,32,10,False
262,1,2,11,0.5,0.5,1,10,32,10,True
263,1,2,11,0.5,0.5,1,10,32,20,False
264,1,2,11,0.5,0.5,1,10,32,20,True
265,1,2,11,0.791,0.778,1,10,2,0,False
266,1,2,11,0.791,0.778,1,10,2,0,True
267,1,2,11,0.5,0.5,1,10,2,10,False
268,1,2,11,0.5,0.5,1,10,2,10,True
269,1,2,11,0.5,0.5,1,10,2,20,False
270,1,2,11,0.5,0.5,1,10,2,20,True
271,1,2,11,0.791,0.778,1,10,12,0,False
272,1,2,11,0.791,0.778,1,10,12,0,True
273,1,2,11,0.5,0.5,1,10,12,10,False
274,1,2,11,0.5,0.5,1,10,12,10,True
275,1,2,11,0.5,0.5,1,10,12,20,False
276,1,2,11,0.5,0.5,1,10,12,20,True
277,1,2,11,0.791,0.778,1,10,22,0,False
278,1,2,11,0.791,0.778,1,10,22,0,True
279,1,2,11,0.5,0.5,1,10,22,10,False
280,1,2,11,0.5,0.5,1,10,22,10,True
281,1,2,11,0.5,0.5,1,10,22,20,False
282,1,2,11,0.5,0.5,1,10,22,20,True
283,1,2,11,0.791,0.778,1,10,32,0,False
284,1,2,11,0.791,0.778,1,10,32,0,True
285,1,2,11,0.5,0.5,1,10,32,10,False
286,1,2,11,0.5,0.5,1,10,32,10,True
287,1,2,11,0.5,0.5,1,10,32,20,False
288,1,2,11,0.5,0.5,1,10,32,20,True
289,1,2,11,0.644,0.662,11,10,2,0,False
290,1,2,11,0.644,0.662,11,10,2,0,True
291,1,2,11,0.5,0.5,11,10,2,10,False
292,1,2,11,0.5,0.5,11,10,2,10,True
293,1,2,11,0.5,0.5,11,10,2,20,False
294,1,2,11,0.5,0.5,11,10,2,20,True
295,1,2,11,0.644,0.662,11,10,12,0,False
296,1,2,11,0.644,0.662,11,10,12,0,True
297,1,2,11,0.5,0.5,11,10,12,10,False
298,1,2,11,0.5,0.5,11,10,12,10,True
299,1,2,11,0.5,0.5,11,10,12,20,False
300,1,2,11,0.5,0.5,11,10,12,20,True
301,1,2,11,0.644,0.662,11,10,22,0,False
302,1,2,11,0.644,0.662,11,10,22,0,True
303,1,2,11,0.5,0.5,11,10,22,10,False
304,1,2,11,0.5,0.5,11,10,22,10,True
305,1,2,11,0.5,0.5,11,10,22,20,False
